Formula,SGR No.,volume_per_fu,volume_per_atom,beta
BeAl2O4,62,56.7564465,8.108063786,90
Ca3Mg(SiO4)2,14,163.5078367,11.67913119,91.9
Al10Ge2O19,36,358.0023973,11.54846443,90
Al2CdO4,227,76.15374707,10.87910672,90
Al2SiO5,62,82.77358269,10.34669784,90
Al2ZnO4,227,65.82357135,9.403367336,90
Al4Bi2O9,55,178.3741678,11.89161118,90
Ba2MgWO6,225,139.6839809,13.96839809,90
Ba2ScTaO6,225,143.7159045,14.37159045,90
Al2Ga2Bi2O9,55,186.4177491,12.42784994,90
Al3GaBi2O9,55,182.3206441,12.15470961,90
AlGa3Bi2O9,55,190.9170402,12.72780268,90
Ca(GaO2)2,62,74.89162593,10.6988037,90
Ca56Al39.984Zn24.016O140,196,3272.642565,12.58708679,90
CaAl12O19,194,301.1355445,9.410485765,90
CaMg(SiO3)2,15,114.1741202,11.41741202,106.4001569
CaTiO3,62,56.02493442,11.20498688,90
CdWO4,13,75.83523953,12.63920659,91.20451081
Ga4Bi2O9,55,195.9246819,13.06164546,90
Gd3SbO7,63,150.9085634,13.71896031,90
La2TiZnO6,14,127.186806,12.7186806,125.1069257
La3GaGe5O16,2,317.6211283,12.70484513,94.27823965
La6NbGa11O28,5,618.8525274,13.45331581,125.7218076
LaAlO3,167,54.34768637,10.86953727,90
LiAl5O8,212,123.1781362,8.798438301,90
LiIn(SiO3)2,15,117.0373354,11.70373354,110.8615506
LiIO3,194,49.82672523,9.965345046,90
LiNbO3,1,53.63279519,10.72655904,73.66092799
LiScP2O7,4,143.8556563,13.07778693,108.9155839
LiTaO3,161,52.5624511,10.51249022,90
Mg3Ga2GeO8,74,143.0122577,10.21516126,90
MgTiO3,62,50.47288276,10.09457655,90
NaGdTi2O6,31,114.152058,11.4152058,90
Sc2O3,206,59.96613853,11.99322771,90
Sr2LaGa11O20,8,449.6291112,13.22438562,108.4315748
Sr4Al14O25,51,512.7906288,11.92536346,90
