iter	Passed	Remaining
0	0	102
1	0	84
2	0	76
3	1	72
4	1	70
5	1	68
6	1	67
7	2	65
8	2	64
9	2	63
10	2	63
11	3	62
12	3	61
13	3	61
14	3	60
15	4	60
16	4	59
17	4	59
18	4	58
19	5	58
20	5	57
21	5	57
22	5	57
23	6	56
24	6	56
25	6	56
26	6	55
27	7	55
28	7	55
29	7	54
30	7	54
31	7	54
32	8	54
33	8	53
34	8	53
35	8	53
36	9	53
37	9	53
38	9	52
39	10	52
40	10	52
41	10	52
42	10	51
43	11	51
44	11	51
45	11	51
46	11	50
47	12	50
48	12	50
49	12	50
50	12	49
51	12	49
52	13	49
53	13	48
54	13	48
55	13	48
56	14	48
57	14	47
58	14	47
59	14	47
60	15	46
61	15	46
62	15	46
63	15	46
64	16	45
65	16	45
66	16	45
67	16	45
68	17	44
69	17	44
70	17	44
71	17	44
72	18	43
73	18	43
74	18	43
75	18	42
76	19	42
77	19	42
78	19	42
79	19	42
80	20	41
81	20	41
82	20	41
83	20	41
84	21	40
85	21	40
86	21	40
87	21	40
88	22	39
89	22	39
90	22	39
91	22	39
92	22	38
93	23	38
94	23	38
95	23	38
96	24	37
97	24	37
98	24	37
99	24	37
100	25	37
101	25	36
102	25	36
103	25	36
104	26	35
105	26	35
106	26	35
107	26	35
108	27	34
109	27	34
110	27	34
111	27	34
112	27	33
113	28	33
114	28	33
115	28	33
116	28	32
117	29	32
118	29	32
119	29	32
120	29	31
121	30	31
122	30	31
123	30	31
124	30	30
125	31	30
126	31	30
127	31	30
128	31	29
129	32	29
130	32	29
131	32	29
132	32	28
133	32	28
134	33	28
135	33	28
136	33	27
137	33	27
138	34	27
139	34	27
140	34	26
141	34	26
142	35	26
143	35	26
144	35	25
145	35	25
146	36	25
147	36	25
148	36	24
149	36	24
150	37	24
151	37	24
152	37	23
153	37	23
154	38	23
155	38	23
156	38	22
157	39	22
158	39	22
159	39	22
160	39	21
161	39	21
162	40	21
163	40	21
164	40	20
165	40	20
166	41	20
167	41	20
168	41	19
169	41	19
170	42	19
171	42	19
172	42	18
173	42	18
174	43	18
175	43	18
176	43	17
177	43	17
178	44	17
179	44	17
180	44	16
181	44	16
182	44	16
183	45	16
184	45	15
185	45	15
186	45	15
187	46	15
188	46	15
189	46	14
190	46	14
191	47	14
192	47	14
193	47	13
194	47	13
195	48	13
196	48	13
197	48	12
198	48	12
199	49	12
200	49	12
201	49	11
202	49	11
203	50	11
204	50	11
205	50	10
206	50	10
207	51	10
208	51	10
209	51	9
210	51	9
211	52	9
212	52	9
213	52	8
214	52	8
215	53	8
216	53	8
217	53	7
218	53	7
219	54	7
220	54	7
221	54	6
222	54	6
223	55	6
224	55	6
225	55	5
226	55	5
227	56	5
228	56	5
229	56	4
230	56	4
231	56	4
232	57	4
233	57	3
234	57	3
235	57	3
236	58	3
237	58	2
238	58	2
239	58	2
240	59	2
241	59	1
242	59	1
243	59	1
244	60	1
245	60	0
246	60	0
247	60	0
248	61	0
249	61	0
